p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
9.47912308663313e-130	0.226372552340028	0.355	0.182	1.85857166359616e-125	pLOF	CD200
1.7944257689728e-129	0.144302743223166	0.745	0.6	3.51833060522497e-125	pLOF	GUCY1A3
3.70791684579549e-129	0.317699045069094	0.151	0.038	7.27011255955122e-125	pLOF	IL13
1.70105539206305e-128	0.221602085732323	0.478	0.285	3.33525930721803e-124	pLOF	IRF8
2.02185764911336e-128	0.211357739111252	0.524	0.327	3.96425629261657e-124	pLOF	PNCK
5.00804390097225e-128	0.160366326424482	0.653	0.476	9.81927167663629e-124	pLOF	H2AFY
6.93256455022391e-128	0.155158573817658	0.704	0.546	1.3592679313624e-123	pLOF	SCARB2
1.12646468571156e-127	0.287399245845737	0.3	0.116	2.20865930927465e-123	pLOF	S100A3
1.65792588409868e-127	0.218034444401545	0.453	0.233	3.25069528095229e-123	pLOF	LOXL4
8.65402888701931e-127	0.23582676611065	0.49	0.288	1.69679544387788e-122	pLOF	LINC01420
1.59658087448468e-126	0.22102203255039	0.465	0.302	3.13041612060211e-122	pLOF	SH3GL2
1.86723859522197e-126	0.258639033956458	0.44	0.225	3.66109471365172e-122	pLOF	ADRA1A
1.1171963780657e-125	0.166451930727246	0.606	0.425	2.19048693847343e-121	pLOF	IL15RA
1.33797717060659e-125	0.162916753101735	0.58	0.38	2.62337183840835e-121	pLOF	GTPBP6
2.15708354032136e-125	0.229396224290003	0.364	0.175	4.22939369750808e-121	pLOF	PMAIP1
2.16276092997811e-125	0.179274589879394	0.599	0.399	4.24052535540808e-121	pLOF	IFI16
4.02469587802128e-125	0.163964797240339	0.669	0.508	7.89122120803632e-121	pLOF	CTPS1
4.37260370442997e-125	0.219921570853889	0.514	0.322	8.57336408327585e-121	pLOF	SLC45A3
1.08628551776411e-124	0.185861290838005	0.678	0.497	2.12988001468008e-120	pLOF	SPSB1
3.49290363629466e-123	0.208436533397597	0.53	0.333	6.84853615968295e-119	pLOF	DOK7
3.66785321188481e-123	0.131639888909584	0.887	0.784	7.19155979254254e-119	pLOF	LRCH1
9.97684331946949e-123	0.177680069117978	0.672	0.486	1.95615966964838e-118	pLOF	TMEM266
1.15260264810233e-122	0.246223406729728	0.42	0.218	2.25990801213423e-118	pLOF	MRTO4
1.9623831729926e-122	0.124381049223683	0.867	0.728	3.8476446872866e-118	pLOF	FSTL4
2.98699455314355e-122	0.264030681402972	0.301	0.136	5.85660022034855e-118	pLOF	HSPB7
4.02212218553479e-122	0.0902911189199849	0.956	0.928	7.88617496917806e-118	pLOF	KIAA1671
8.84522506873219e-122	0.126769056621841	0.813	0.684	1.73428327922632e-117	pLOF	NCEH1
3.7280195914206e-121	0.100067392144987	0.888	0.8	7.30952801289837e-117	pLOF	ADCY5
5.964618289937e-121	0.106037581480864	0.879	0.784	1.16948270810795e-116	pLOF	RP11-439C15.6
6.41878590485859e-121	0.237935941623745	0.242	0.101	1.25853135236562e-116	pLOF	MSX2
2.12725930774501e-120	0.178570808871546	0.673	0.493	4.17091732469563e-116	pLOF	CLU
3.84352397966056e-120	0.211259180853393	0.583	0.384	7.53599746692047e-116	pLOF	SV2B
4.01111942266189e-120	0.16776120650849	0.593	0.412	7.86460185201317e-116	pLOF	TPST2
1.83819299056696e-119	0.266174624449176	0.292	0.13	3.60414499660463e-115	pLOF	LTF
2.59971557652792e-119	0.194655001526947	0.548	0.358	5.09726233089829e-115	pLOF	PECAM1
8.71909972183612e-119	0.144646444592407	0.707	0.532	1.70955388246041e-114	pLOF	DPF3
9.89734318577441e-119	0.141092913242826	0.807	0.684	1.94057207843479e-114	pLOF	SMAD7
1.04816382822924e-118	0.294823748056221	0.253	0.098	2.05513481800907e-114	pLOF	NIPAL4
1.63350593821932e-118	0.141711173498533	0.767	0.651	3.20281509306663e-114	pLOF	UGT2B7
1.81477075133282e-118	0.141899316458038	0.722	0.592	3.55822101213826e-114	pLOF	SYNJ2
1.86728064434978e-118	0.23550092094607	0.339	0.155	3.66117715937661e-114	pLOF	S100A6
3.44622793331351e-118	0.0998164383611826	0.931	0.865	6.7570191088478e-114	pLOF	SIPA1L3
4.79058674677624e-118	0.191361123644496	0.57	0.369	9.39290343440418e-114	pLOF	TUBB6
1.14922892341402e-117	0.225859643017266	0.413	0.218	2.25329315013787e-113	pLOF	WISP2
2.2119137683181e-117	0.106867283617504	0.846	0.776	4.3368993255413e-113	pLOF	SLC22A4
4.98396019779525e-117	0.14208336456508	0.696	0.531	9.77205075981714e-113	pLOF	TRAPPC3
7.38239524147041e-117	0.10526416613962	0.795	0.675	1.4474662349951e-112	pLOF	G3BP1
1.10539807884879e-116	0.143206739523415	0.686	0.516	2.16735401319882e-112	pLOF	ZC3H12A
1.11514324671342e-116	0.140811075555464	0.786	0.675	2.18646136383101e-112	pLOF	DERA
1.17322178653558e-116	0.176823862036675	0.608	0.424	2.30033595686032e-112	pLOF	PPP1R3B
