Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0051956	negative regulation of amino acid transport	357	1.568478e-06	0.01637491	4.58681e-05	4.374802	3.657309	16	0.001132995	0.004956629	191	0.001016717	1	0.05557343	7.670493	0.5214789	4	8	0.003401361	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0090207	regulation of triglyceride metabolic process	359	1.574731e-06	0.01644019	4.579441e-05	3.609029	5.541657	20	0.001716746	0.006195787	1005	0.05901468	1	0.613048	2.667998	1.499252	4	23	0.003401361	0.173913	GO Biological Process	IFN1
GO Biological Process	GO:0018146	keratan sulfate biosynthetic process	360	1.649785e-06	0.01722376	4.784377e-05	3.143117	7.635732	24	0.002365468	0.007434944	1466	0.1060145	1	0.7549737	2.191569	1.825176	4	28	0.003401361	0.1428571	GO Biological Process	IFN1
GO Biological Process	GO:0060729	intestinal epithelial structure maintenance	361	1.650152e-06	0.01722759	4.772185e-05	4.357231	3.672057	16	0.001137564	0.004956629	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0061043	regulation of vascular wound healing	362	1.677421e-06	0.01751228	4.837645e-05	10.2686	0.7790737	8	0.0002413487	0.002478315	2445	0.2363526	1	1	3.835247	0.2607394	1	4	0.0008503401	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0046839	phospholipid dephosphorylation	363	1.697306e-06	0.01771987	4.881508e-05	3.590812	5.569771	20	0.001725456	0.006195787	863	0.04417216	1	0.5343654	2.922093	1.368882	4	21	0.003401361	0.1904762	GO Biological Process	IFN1
MSigDB Pathway	PID_IL5_PATHWAY	IL5-mediated signaling events	71	1.749377e-06	0.002309178	3.252363e-05	3.583486	5.581158	20	0.001728983	0.006195787	52	0.01060691	1	0.2692523	4.383139	0.912588	4	14	0.003401361	0.2857143	MSigDB Pathway	IFN1
GO Biological Process	GO:0006354	DNA-dependent transcription, elongation	364	1.770056e-06	0.01847938	5.076754e-05	2.450509	14.69082	36	0.00455106	0.01115242	1473	0.1070984	1	0.7590681	1.605452	5.605898	9	86	0.007653061	0.1046512	GO Biological Process	IFN1
GO Biological Process	GO:0006885	regulation of pH	366	1.893112e-06	0.01976409	5.400024e-05	2.443037	14.73576	36	0.004564981	0.01115242	553	0.01481207	1	0.2796347	2.454558	3.259243	8	50	0.006802721	0.16	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_PDGF_PATHWAY	PDGF Signaling Pathway	72	1.939526e-06	0.002560174	3.555798e-05	2.601636	12.29995	32	0.003810394	0.009913259	15	0.0008185176	1	0.07202955	3.835247	2.085915	8	32	0.006802721	0.25	MSigDB Pathway	IFN1
GO Biological Process	GO:0046929	negative regulation of neurotransmitter secretion	367	1.972028e-06	0.02058797	5.609802e-05	10.04374	0.7965159	8	0.0002467521	0.002478315	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0051461	positive regulation of corticotropin secretion	368	1.993166e-06	0.02080865	5.654525e-05	10.02908	0.7976801	8	0.0002471128	0.002478315	781	0.03719545	1	0.4972093	6.136395	0.3259243	2	5	0.00170068	0.4	GO Biological Process	IFN1
GO Biological Process	GO:0046856	phosphatidylinositol dephosphorylation	369	2.014495e-06	0.02103133	5.699547e-05	4.288677	3.730754	16	0.001155748	0.004956629	1419	0.09485074	1	0.6978448	2.707233	1.108143	3	17	0.00255102	0.1764706	GO Biological Process	IFN1
GO Biological Process	GO:0051013	microtubule severing	370	2.104114e-06	0.02196695	5.937014e-05	5.741172	2.090165	12	0.000647511	0.003717472	1261	0.07160867	1	0.5928585	4.383139	0.456294	2	7	0.00170068	0.2857143	GO Biological Process	IFN1
GO Biological Process	GO:0050709	negative regulation of protein secretion	372	2.21727e-06	0.0231483	6.222661e-05	2.58454	12.38131	32	0.003835599	0.009913259	1848	0.1359394	1	0.7679693	1.826308	2.737764	5	42	0.004251701	0.1190476	GO Biological Process	IFN1
GO Biological Process	GO:0002709	regulation of T cell mediated immunity	373	2.24675e-06	0.02345607	6.288491e-05	2.582855	12.38939	32	0.003838101	0.009913259	881	0.04632087	1	0.5489102	2.105626	3.324428	7	51	0.005952381	0.1372549	GO Biological Process	IFN1
GO Biological Process	GO:0070849	response to epidermal growth factor stimulus	375	2.310906e-06	0.02412586	6.433562e-05	3.080514	7.790907	24	0.00241354	0.007434944	1916	0.1536591	1	0.8372657	2.191569	1.368882	3	21	0.00255102	0.1428571	GO Biological Process	IFN1
GO Biological Process	GO:0010757	negative regulation of plasminogen activation	377	2.378351e-06	0.02482998	6.586203e-05	5.671885	2.115699	12	0.0006554209	0.003717472	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
MSigDB Pathway	PID_IL12_2PATHWAY	IL12-mediated signaling events	73	2.391448e-06	0.003156711	4.324262e-05	2.293329	17.4419	40	0.005403313	0.01239157	120	0.05120248	1	0.5632273	1.948062	4.106646	8	63	0.006802721	0.1269841	MSigDB Pathway	IFN1
GO Biological Process	GO:0033559	unsaturated fatty acid metabolic process	378	2.443118e-06	0.02550615	6.747659e-05	2.191463	20.07791	44	0.006219924	0.01363073	1319	0.07624795	1	0.6035092	1.667499	5.997007	10	92	0.008503401	0.1086957	GO Biological Process	IFN1
GO Biological Process	GO:0019805	quinolinate biosynthetic process	380	2.639467e-06	0.02755604	7.251588e-05	5.613508	2.137701	12	0.0006622369	0.003717472	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0002690	positive regulation of leukocyte chemotaxis	381	2.644422e-06	0.02760777	7.246133e-05	2.283471	17.51719	40	0.00542664	0.01239157	407	0.006785458	1	0.1740545	2.605073	3.454797	9	53	0.007653061	0.1698113	GO Biological Process	IFN1
GO Biological Process	GO:0045214	sarcomere organization	384	2.9104e-06	0.03038458	7.91265e-05	3.03808	7.899726	24	0.002447251	0.007434944	1365	0.0855921	1	0.6546385	2.360152	1.694806	4	26	0.003401361	0.1538462	GO Biological Process	IFN1
GO Biological Process	GO:0060216	definitive hemopoiesis	386	3.000353e-06	0.03132369	8.114944e-05	3.032505	7.914249	24	0.00245175	0.007434944	690	0.02634828	1	0.3986609	3.409108	1.173327	4	18	0.003401361	0.2222222	GO Biological Process	IFN1
GO Biological Process	GO:0038161	prolactin signaling pathway	387	3.005539e-06	0.03137783	8.107966e-05	9.478859	0.8439835	8	0.0002614571	0.002478315	504	0.01218443	1	0.2523918	10.22732	0.1955546	2	3	0.00170068	0.6666667	GO Biological Process	IFN1
GO Biological Process	GO:0032239	regulation of nucleobase-containing compound transport	391	3.138447e-06	0.03276539	8.379894e-05	5.51755	2.174879	12	0.0006737542	0.003717472	724	0.03071253	1	0.4428713	4.183905	0.7170334	3	11	0.00255102	0.2727273	GO Biological Process	IFN1
GO Biological Process	GO:0016064	immunoglobulin mediated immune response	394	3.250517e-06	0.0339354	8.613045e-05	2.535941	12.61859	32	0.003909104	0.009913259	1857	0.1371514	1	0.7710612	1.627074	4.302201	7	66	0.005952381	0.1060606	GO Biological Process	IFN1
GO Biological Process	GO:2000741	positive regulation of mesenchymal stem cell differentiation	396	3.434675e-06	0.03585801	9.055052e-05	3.42242	5.843818	20	0.001810353	0.006195787	504	0.01218443	1	0.2523918	10.22732	0.1955546	2	3	0.00170068	0.6666667	GO Biological Process	IFN1
GO Biological Process	GO:0070050	neuron cellular homeostasis	397	3.481068e-06	0.03634235	9.154244e-05	5.460765	2.197494	12	0.0006807603	0.003717472	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0042401	cellular biogenic amine biosynthetic process	399	3.514828e-06	0.0366948	9.196693e-05	4.101553	3.900962	16	0.001208476	0.004956629	3077	0.3297692	1	1	1.704554	1.173327	2	18	0.00170068	0.1111111	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_RANKL_PATHWAY	Bone Remodelling	74	3.619844e-06	0.004778194	6.457019e-05	4.091822	3.910239	16	0.00121135	0.004956629	151	0.06981917	1	0.6103398	3.068197	0.9777729	3	15	0.00255102	0.2	MSigDB Pathway	IFN1
MSigDB Pathway	KEGG_LYSOSOME	Lysosome	75	3.696161e-06	0.004878933	6.505243e-05	2.075772	23.12392	48	0.007163544	0.01486989	185	0.09597111	1	0.6847668	1.52142	7.887368	12	121	0.01020408	0.09917355	MSigDB Pathway	IFN1
GO Biological Process	GO:0032020	ISG15-protein conjugation	400	3.701419e-06	0.03864281	9.660704e-05	5.427349	2.211024	12	0.0006849517	0.003717472	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0032816	positive regulation of natural killer cell activation	401	3.779294e-06	0.03945583	9.839359e-05	3.399975	5.882396	20	0.001822304	0.006195787	740	0.03169834	1	0.4472036	3.229681	1.238512	4	19	0.003401361	0.2105263	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	Genes involved in Negative regulation of the PI3K/AKT network	76	3.877915e-06	0.005118848	6.735326e-05	5.402098	2.221359	12	0.0006881533	0.003717472	154	0.07160867	1	0.6137886	4.383139	0.456294	2	7	0.00170068	0.2857143	MSigDB Pathway	IFN1
GO Biological Process	GO:0006984	ER-nucleus signaling pathway	404	4.157015e-06	0.04339924	0.0001074239	2.144666	20.51601	44	0.006355643	0.01363073	2930	0.2881942	1	1	1.278416	6.257746	8	96	0.006802721	0.08333333	GO Biological Process	IFN1
GO Biological Process	GO:0071526	semaphorin-plexin signaling pathway	405	4.215238e-06	0.04400708	0.0001086595	2.503144	12.78392	32	0.003960323	0.009913259	162	0.0005019652	1	0.03234887	5.414466	1.108143	6	17	0.005102041	0.3529412	GO Biological Process	IFN1
GO Biological Process	GO:0009309	amine biosynthetic process	407	4.465927e-06	0.04662428	0.000114556	4.022874	3.977256	16	0.001232111	0.004956629	3266	0.3540996	1	1	1.614841	1.238512	2	19	0.00170068	0.1052632	GO Biological Process	IFN1
GO Biological Process	GO:0044375	regulation of peroxisome size	410	4.654823e-06	0.04859635	0.0001185277	38.08322	0.1050331	4	3.253815e-05	0.001239157	2071	0.1830938	1	0.9229837	5.113662	0.1955546	1	3	0.0008503401	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0042339	keratan sulfate metabolic process	411	4.794631e-06	0.05005595	0.0001217906	2.947362	8.142874	24	0.002522576	0.007434944	1975	0.1652571	1	0.8735616	1.859514	2.1511	4	33	0.003401361	0.1212121	GO Biological Process	IFN1
GO Biological Process	GO:0046778	modification by virus of host mRNA processing	416	5.087359e-06	0.05311203	0.0001276731	37.22871	0.107444	4	3.3285e-05	0.001239157	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0031639	plasminogen activation	418	5.311414e-06	0.05545116	0.0001326583	8.760918	0.9131463	8	0.000282883	0.002478315	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Genes involved in Cell surface interactions at the vascular wall	79	5.491126e-06	0.007248286	9.175046e-05	2.044075	23.4825	48	0.007274628	0.01486989	66	0.02019695	1	0.403939	2.008939	5.475528	11	84	0.009353741	0.1309524	MSigDB Pathway	IFN1
GO Biological Process	GO:0046133	pyrimidine ribonucleoside catabolic process	420	5.713581e-06	0.05964979	0.0001420233	8.672493	0.9224568	8	0.0002857673	0.002478315	1822	0.1349599	1	0.7733158	3.068197	0.6518486	2	10	0.00170068	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0000054	ribosomal subunit export from nucleus	421	5.714793e-06	0.05966244	0.000141716	36.13855	0.1106851	4	3.428907e-05	0.001239157	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0001773	myeloid dendritic cell activation	423	5.908536e-06	0.06168512	0.0001458277	3.296299	6.067411	20	0.001879619	0.006195787	690	0.02634828	1	0.3986609	3.409108	1.173327	4	18	0.003401361	0.2222222	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_CD40_PATHWAY	CD40L Signaling Pathway	80	6.145076e-06	0.0081115	0.0001013938	3.919683	4.081963	16	0.001264549	0.004956629	359	0.2308538	1	0.8488218	2.191569	0.912588	2	14	0.00170068	0.1428571	MSigDB Pathway	IFN1
GO Biological Process	GO:0051412	response to corticosterone stimulus	425	6.174182e-06	0.06445846	0.000151667	2.90198	8.270217	24	0.002562025	0.007434944	1916	0.1536591	1	0.8372657	2.191569	1.368882	3	21	0.00255102	0.1428571	GO Biological Process	IFN1
GO Biological Process	GO:0014054	positive regulation of gamma-aminobutyric acid secretion	426	6.260425e-06	0.06535884	0.0001534245	5.147864	2.331064	12	0.0007221387	0.003717472	265	0.002500622	1	0.09851507	9.204592	0.3259243	3	5	0.00255102	0.6	GO Biological Process	IFN1
GO Biological Process	GO:0007096	regulation of exit from mitosis	429	6.594108e-06	0.06884249	0.000160472	5.120881	2.343347	12	0.0007259439	0.003717472	4415	0.5837985	1	1	1.180076	0.8474031	1	13	0.0008503401	0.07692308	GO Biological Process	IFN1
GO Biological Process	GO:0034214	protein hexamerization	430	6.696723e-06	0.06991379	0.0001625902	8.482871	0.9430769	8	0.0002921552	0.002478315	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
GO Biological Process	GO:0071356	cellular response to tumor necrosis factor	431	6.874185e-06	0.07176649	0.0001665116	2.026119	23.69062	48	0.0073391	0.01486989	494	0.01202588	1	0.2541502	2.163472	5.084419	11	78	0.009353741	0.1410256	GO Biological Process	IFN1
GO Biological Process	GO:0019724	B cell mediated immunity	432	6.916483e-06	0.07220808	0.0001671483	2.441126	13.1087	32	0.004060937	0.009913259	1966	0.1616631	1	0.8584755	1.556332	4.497755	7	69	0.005952381	0.1014493	GO Biological Process	IFN1
GO Biological Process	GO:0002577	regulation of antigen processing and presentation	433	7.009102e-06	0.07317502	0.0001689954	5.089309	2.357884	12	0.0007304474	0.003717472	724	0.03071253	1	0.4428713	4.183905	0.7170334	3	11	0.00255102	0.2727273	GO Biological Process	IFN1
MSigDB Pathway	PID_PI3KCIPATHWAY	Class I PI3K signaling events	81	7.102586e-06	0.009375414	0.0001157458	2.297692	15.66789	36	0.004853747	0.01115242	57	0.01481207	1	0.3430164	2.454558	3.259243	8	50	0.006802721	0.16	MSigDB Pathway	IFN1
GO Biological Process	GO:0006244	pyrimidine nucleotide catabolic process	435	7.114253e-06	0.0742728	0.0001707421	8.41161	0.9510664	8	0.0002946302	0.002478315	1381	0.09145428	1	0.6913705	3.835247	0.5214789	2	8	0.00170068	0.25	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_IL10_PATHWAY	IL-10 Anti-inflammatory Signaling Pathway	82	7.140278e-06	0.009425167	0.0001149411	5.079747	2.362322	12	0.0007318223	0.003717472	68	0.02157982	1	0.4189024	3.609644	1.108143	4	17	0.003401361	0.2352941	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	Genes involved in RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription	83	7.147268e-06	0.009434394	0.0001136674	2.29701	15.67255	36	0.004855188	0.01115242	487	0.3441282	1	0.9327499	1.190249	7.561443	9	116	0.007653061	0.07758621	MSigDB Pathway	IFN1
MSigDB Pathway	REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	Genes involved in Base-free sugar-phosphate removal via the single-nucleotide replacement pathway	84	7.213585e-06	0.009521932	0.0001133563	8.395348	0.9529087	8	0.000295201	0.002478315	223	0.1349599	1	0.7988658	3.068197	0.6518486	2	10	0.00170068	0.2	MSigDB Pathway	IFN1
GO Biological Process	GO:0035307	positive regulation of protein dephosphorylation	437	7.485665e-06	0.07815034	0.0001788337	3.856816	4.148499	16	0.001285161	0.004956629	1241	0.06981917	1	0.5873587	3.068197	0.9777729	3	15	0.00255102	0.2	GO Biological Process	IFN1
GO Biological Process	GO:2000001	regulation of DNA damage checkpoint	442	7.640612e-06	0.07976799	0.0001804706	8.328194	0.9605924	8	0.0002975813	0.002478315	3110	0.3326875	1	1	2.556831	0.3911091	1	6	0.0008503401	0.1666667	GO Biological Process	IFN1
GO Biological Process	GO:0019217	regulation of fatty acid metabolic process	444	7.681889e-06	0.08019892	0.0001806282	2.017246	23.79482	48	0.007371381	0.01486989	377	0.005362005	1	0.1484863	2.410726	4.56294	11	70	0.009353741	0.1571429	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_NKT_PATHWAY	Selective expression of chemokine receptors during T-cell polarization	85	7.829939e-06	0.01033552	0.0001215943	2.859685	8.392534	24	0.002599918	0.007434944	92	0.03749946	1	0.5380357	2.644998	1.890361	5	29	0.004251701	0.1724138	MSigDB Pathway	IFN1
GO Biological Process	GO:0002439	chronic inflammatory response to antigenic stimulus	446	7.877948e-06	0.08224578	0.0001844076	33.28885	0.1201604	4	3.72244e-05	0.001239157	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0042996	regulation of Golgi to plasma membrane protein transport	447	7.938308e-06	0.08287594	0.0001854048	3.838249	4.168568	16	0.001291378	0.004956629	1381	0.09145428	1	0.6913705	3.835247	0.5214789	2	8	0.00170068	0.25	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	Genes involved in RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	86	8.0422e-06	0.0106157	0.0001234384	2.42236	13.21026	32	0.004092397	0.009913259	476	0.3283683	1	0.9106012	1.278416	4.69331	6	72	0.005102041	0.08333333	MSigDB Pathway	IFN1
GO Biological Process	GO:0045191	regulation of isotype switching	448	8.287678e-06	0.08652336	0.0001931325	3.219103	6.21291	20	0.001924693	0.006195787	863	0.04417216	1	0.5343654	2.922093	1.368882	4	21	0.003401361	0.1904762	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_IL22BP_PATHWAY	IL22 Soluble Receptor Signaling Pathway	87	8.474459e-06	0.01118629	0.000128578	4.992078	2.403808	12	0.0007446742	0.003717472	60	0.01737974	1	0.3823543	3.835247	1.042958	4	16	0.003401361	0.25	MSigDB Pathway	IFN1
GO Biological Process	GO:0045656	negative regulation of monocyte differentiation	450	8.62232e-06	0.09001702	0.0002000378	8.188596	0.9769685	8	0.0003026544	0.002478315	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0060612	adipose tissue development	452	8.66112e-06	0.09042209	0.0002000489	2.413154	13.26066	32	0.00410801	0.009913259	1365	0.0855921	1	0.6546385	2.360152	1.694806	4	26	0.003401361	0.1538462	GO Biological Process	IFN1
GO Biological Process	GO:0042509	regulation of tyrosine phosphorylation of STAT protein	453	8.662974e-06	0.09044145	0.00019965	2.168044	18.44981	40	0.005715554	0.01239157	978	0.05521451	1	0.5894064	2.026168	3.454797	7	53	0.005952381	0.1320755	GO Biological Process	IFN1
GO Biological Process	GO:0032814	regulation of natural killer cell activation	454	8.741821e-06	0.09126461	0.0002010234	3.207033	6.236293	20	0.001931937	0.006195787	1311	0.07617452	1	0.6066072	2.454558	1.629621	4	25	0.003401361	0.16	GO Biological Process	IFN1
GO Biological Process	GO:0072197	ureter morphogenesis	456	8.993677e-06	0.09389399	0.0002059079	3.798978	4.211659	16	0.001304727	0.004956629	2445	0.2363526	1	1	3.835247	0.2607394	1	4	0.0008503401	0.25	GO Biological Process	IFN1
GO Biological Process	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	458	9.124855e-06	0.09526349	0.0002079989	2.585678	10.82888	28	0.003354672	0.008674102	1554	0.1169769	1	0.785868	2.115998	1.890361	4	29	0.003401361	0.137931	GO Biological Process	IFN1
GO Biological Process	GO:0003356	regulation of cilium beat frequency	459	9.178163e-06	0.09582002	0.0002087582	32.01096	0.1249572	4	3.871041e-05	0.001239157	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0002449	lymphocyte mediated immunity	463	9.737076e-06	0.1016551	0.0002195574	2.156757	18.54636	40	0.005745465	0.01239157	2315	0.2040198	1	0.920072	1.380689	6.518486	9	100	0.007653061	0.09	GO Biological Process	IFN1
