Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0042594	response to starvation	176	0.0003068719	1	0.01820308	2.12025	12.73435	27	0.009979896	0.02115987	2058	0.1685048	1	0.8548057	1.343074	9.679286	13	107	0.007965686	0.1214953
GO Biological Process	GO:0051574	positive regulation of histone H3-K9 methylation	179	0.000316918	1	0.01848393	6.758843	0.8877259	6	0.0006957099	0.004702194	2666	0.2475852	1	0.9695384	3.684845	0.2713819	1	3	0.0006127451	0.3333333
GO Biological Process	GO:0044130	negative regulation of growth of symbiont in host	181	0.0003218187	1	0.01856236	4.303943	2.091106	9	0.001638798	0.007053292	2439	0.1946947	1	0.8333795	1.9508	1.53783	3	17	0.001838235	0.1764706
GO Biological Process	GO:0045819	positive regulation of glycogen catabolic process	183	0.0003507677	1	0.02001101	12.3707	0.3233447	4	0.0002534049	0.003134796	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0035457	cellular response to interferon-alpha	184	0.0003598268	1	0.02041626	6.597213	0.909475	6	0.0007127547	0.004702194	1987	0.1589701	1	0.8352531	2.763634	0.7236849	2	8	0.00122549	0.25
GO Biological Process	GO:0051825	adhesion to other organism involved in symbiotic interaction	186	0.0003715169	1	0.02085288	8.433618	0.5928654	5	0.000464628	0.003918495	4551	0.5741003	1	1	1.228282	0.8141456	1	9	0.0006127451	0.1111111
GO Biological Process	GO:0071732	cellular response to nitric oxide	187	0.0003780781	1	0.02110768	8.400974	0.5951691	5	0.0004664335	0.003918495	3840	0.4339	1	1	1.842422	0.5427637	1	6	0.0006127451	0.1666667
GO Biological Process	GO:0070417	cellular response to cold	188	0.0003840339	1	0.02132614	8.371924	0.5972343	5	0.0004680519	0.003918495	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0046635	positive regulation of alpha-beta T cell activation	191	0.0003911466	1	0.02137995	2.46985	7.692775	19	0.00602882	0.01489028	941	0.04151874	1	0.460633	2.009915	3.980267	8	44	0.004901961	0.1818182
GO Biological Process	GO:0031061	negative regulation of histone methylation	192	0.0004111952	1	0.02235874	4.158685	2.164145	9	0.001696039	0.007053292	628	0.01826939	1	0.3037141	3.684845	1.085527	4	12	0.00245098	0.3333333
GO Biological Process	GO:0045807	positive regulation of endocytosis	195	0.0004211158	1	0.02254589	2.146813	11.64517	25	0.009126307	0.01959248	281	0.00198054	1	0.07358305	2.27148	6.603625	15	73	0.009191176	0.2054795
GO Biological Process	GO:1901654	response to ketone	199	0.000444868	1	0.0233388	2.138529	11.69028	25	0.00916166	0.01959248	804	0.02850281	1	0.3701111	1.738916	8.050995	14	89	0.008578431	0.1573034
GO Biological Process	GO:0010830	regulation of myotube differentiation	200	0.0004531674	1	0.02365534	2.175201	11.03346	24	0.008646916	0.01880878	180	0.0004669828	1	0.027085	2.817822	4.613491	13	51	0.007965686	0.254902
GO Biological Process	GO:0034109	homotypic cell-cell adhesion	201	0.0004579698	1	0.02378709	2.916788	4.7998	14	0.003761599	0.01097179	644	0.01858049	1	0.3012117	2.496185	2.804279	7	31	0.004289216	0.2258065
GO Biological Process	GO:0070486	leukocyte aggregation	203	0.0004742593	1	0.02439048	6.257107	0.9589096	6	0.0007514965	0.004702194	808	0.02924703	1	0.3778948	4.14545	0.7236849	3	8	0.001838235	0.375
GO Biological Process	GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation	205	0.0005676194	1	0.02890706	19.16405	0.1565431	3	0.0001226827	0.002351097	448	0.008178562	1	0.1905897	11.05453	0.1809212	2	2	0.00122549	1
GO Biological Process	GO:2000538	positive regulation of B cell chemotaxis	206	0.0005678246	1	0.02877713	19.16165	0.1565627	3	0.0001226981	0.002351097	448	0.008178562	1	0.1905897	11.05453	0.1809212	2	2	0.00122549	1
GO Biological Process	GO:0048247	lymphocyte chemotaxis	207	0.0005827091	1	0.02938881	4.409939	1.814084	8	0.001421696	0.006269592	1849	0.1268862	1	0.716437	2.368829	1.266449	3	14	0.001838235	0.2142857
GO Biological Process	GO:0043407	negative regulation of MAP kinase activity	210	0.0006117107	1	0.03041076	2.213601	9.938556	22	0.007788837	0.01724138	1253	0.07181812	1	0.5983888	1.674929	5.970401	10	66	0.006127451	0.1515152
GO Biological Process	GO:0043467	regulation of generation of precursor metabolites and energy	211	0.0006151148	1	0.03043506	2.377	7.993267	19	0.006264316	0.01489028	612	0.01758355	1	0.2999547	2.026665	5.427637	11	60	0.006740196	0.1833333
